sample_id,m1_latency,m2_latency,m3_latency,m1_total_input_token,m2_total_input_token,m3_total_input_token,m1_total_output_token,m2_total_output_token,m3_total_output_token,m1_k,m2_k,m3_k,m1_judge_score,m2_judge_score,m3_judge_score
0,2064.0170574188232,3737.558126449585,23715.694189071655,100,106,421,51,77,666,5,3,10,0.17,0.17,0.17
1,2632.444143295288,3442.6279067993164,28737.44821548462,98,70,397,62,74,966,5,1,9,0.77,0.7,0.83
2,5278.381109237671,3912.7798080444336,20448.19974899292,130,173,532,30,56,546,5,4,8,0.17,0.17,0.17
